lat,lng,pop
33.93911,67.709953,66.2132
41.153332,20.168331,79.4717
28.033886,1.659626,78.4568
-14.270972,-170.132217,75.5408
42.546245,1.601554,85.8379
-11.202692,17.873887,64.5406
18.220554,-63.068615,81.156
17.060816,-61.796428,81.6454
-38.416097,-63.616672,79.277
40.069099,45.038189,78.4468
12.52111,-69.968338,77.6813
-25.274398,133.775136,85.4531
47.516231,14.550072,84.6001
40.143105,47.576927,76.2494
25.03428,-77.39628,77.8432
25.930414,50.637772,80.497
23.684994,90.356331,76.0122
13.193887,-59.543198,79.5806
53.709807,27.953389,78.3839
50.503887,4.469936,84.3671
17.189877,-88.49765,74.6853
9.30769,2.315834,61.6761
32.321384,-64.75737,84.5067
27.514162,90.433601,74.1516
-16.290154,-63.588653,67.9072
-54.423199,3.413194,78.2229
43.915886,17.679076,77.4978
-22.328474,24.684866,68.399
-14.235004,-51.92528,76.5961
18.420695,-64.639968,79.2559
4.535277,114.727669,76.7914
42.733883,25.48583,75.0797
12.238333,-1.561593,61.5048
-3.373056,29.918886,63.8678
7.539989,-5.54708,60.2825
16.002082,-24.013197,79.0115
12.565679,104.990963,72.6221
7.369722,12.354722,62.5557
56.130366,-106.346771,84.7966
19.513469,-80.566956,78.1236
6.611111,20.939444,56.8294
15.454166,18.732207,54.7691
-35.675147,-71.542969,81.8775
35.86166,104.195397,81.3425
22.396428,114.109497,86.8931
22.198745,113.543873,87.9796
,,84.539
4.570868,-74.297333,77.1432
-11.875001,43.872219,66.0613
-0.228021,15.827659,64.617
-21.236736,-159.777671,79.0355
9.748917,-83.753428,80.0359
45.1,15.2,82.0004
21.521757,-77.781167,80.5647
,,80.2766
35.126413,33.429859,83.673
49.817492,15.472962,81.2199
40.339852,127.510093,76.1461
,,62.0504
56.26392,9.501785,83.8019
11.825138,42.590275,65.5027
15.414999,-61.370976,76.4515
18.735693,-70.162651,77.5363
-1.831239,-78.183406,80.4808
26.820553,30.802498,72.5566
13.794185,-88.89653,75.8127
1.650801,10.267895,63.2614
15.179384,39.782334,68.6785
58.595272,25.013607,82.9865
,,60.5988
9.145,40.489673,68.903
-51.796253,-59.523613,81.2357
61.892635,-6.911806,80.7007
-16.578193,179.414413,70.2392
61.92411,25.748151,84.8859
46.227638,2.213749,85.9668
3.933889,-53.125782,80.3203
-17.679742,-149.406843,85.9771
-0.803689,11.609444,68.3593
13.443182,-15.310139,64.3443
42.315407,43.356892,76.4611
51.165691,10.451526,83.4872
7.946527,-1.023194,66.1305
36.137741,-5.345374,84.691
39.074208,21.824312,83.3168
71.706936,-42.604303,75.95
12.262776,-61.604171,78.2976
16.995971,-62.067641,83.8959
13.444304,144.793731,82.0455
15.783471,-90.230759,71.7543
49.465691,-2.585278,84.4184
9.945587,-9.696645,60.2376
11.803749,-15.180413,61.9295
4.860416,-58.93018,69.3994
18.971187,-72.285215,66.6955
-53.08181,73.504158,85.9294
15.199999,-86.241905,73.1568
47.162494,19.503304,78.3093
64.963051,-19.020835,84.2877
20.593684,78.96288,69.3843
-0.789275,113.921327,70.4367
32.427908,53.688046,77.4533
33.223191,43.679291,73.3619
53.41291,-8.24389,84.4123
54.236107,-4.548056,82.7319
31.046051,34.851612,84.5081
41.87194,12.56738,85.9999
18.109581,-77.297508,72.7373
36.204824,138.252924,87.832
49.214439,-2.13125,83.1907
30.585164,36.238414,76.675
48.019573,66.923684,72.9947
-0.023559,37.906193,64.6858
-3.370417,-168.734039,69.3859
42.602636,20.902977,81.7418
29.31166,47.481766,82.752
41.20438,74.766098,74.9286
19.85627,102.495496,71.1637
56.879635,24.603189,80.0875
33.854721,35.862285,76.5973
-29.609988,28.233608,55.9233
6.428055,-9.429499,62.3923
26.3351,17.228331,74.7593
47.166,9.555373,86.129
55.169438,23.881275,79.1304
49.815273,6.129583,84.7698
-18.766947,46.869107,67.617
-13.254308,34.301525,66.3258
4.210484,101.975766,78.7986
3.202778,73.22068,81.8436
17.570692,-3.996166,60.8322
35.937496,14.375416,85.7028
7.131474,171.184478,67.0924
14.641528,-61.024174,85.9659
21.00789,-10.940835,66.4467
-20.348404,57.552152,77.1279
-12.8275,45.166244,78.5224
23.634501,-102.552784,78.1613
7.425554,150.550812,74.8234
43.750298,7.412841,88.8808
46.862496,103.846656,77.3746
42.708678,19.37439,80.2618
16.742498,-62.187366,77.5407
31.791702,-7.09262,77.177
-18.665695,35.529562,62.6881
21.913965,95.956223,70.4775
-22.95764,18.49041,61.7038
-0.522778,166.931503,67.8412
28.394857,84.124008,72.364
52.132633,5.291266,83.9041
-20.904305,165.618042,84.6124
-40.900557,174.885971,84.7259
12.865416,-85.207229,77.5564
17.607789,8.081666,63.4014
9.081999,8.675277,53.9685
-19.054445,-169.867233,72.8679
-29.040835,167.954712,76.1605
17.33083,145.38469,79.4588
60.472024,8.468946,85.0548
21.512583,55.923255,76.0465
30.375321,69.345116,68.9177
7.51498,134.58252,69.3144
8.537981,-80.782127,80.0907
-6.314993,143.95555,69.1723
-23.442503,-58.443832,73.5714
-9.189967,-75.015152,75.4954
12.879721,121.774017,74.1743
51.919438,19.145136,80.7964
39.399872,-8.224454,84.9298
18.220833,-66.590149,83.8972
25.354826,51.183884,83.1008
-21.115141,55.536384,85.3995
,,87.1007
,,73.3201
45.943161,24.96676,77.6191
61.52401,105.318756,75.7024
-1.940278,29.873888,69.2441
,,83.7326
-24.143474,-10.030696,80.8848
17.357822,-62.782998,75.6659
13.909444,-60.978893,74.887
,,83.6582
46.941936,-56.27111,81.6927
12.984305,-61.287228,71.7315
-13.759029,-172.104629,75.3331
43.94236,12.457777,84.7326
0.18636,6.613081,71.938
23.885942,45.079162,79.5253
14.497401,-14.452362,70.1997
44.016521,21.005859,76.9752
-4.679574,55.491977,76.0416
8.460555,-11.779889,61.6928
1.352083,103.819836,86.2947
,,77.1414
48.669026,19.699024,78.813
46.151241,14.995463,84.6163
-9.64571,160.156194,72.3575
5.152149,46.199616,58.2334
-30.559482,22.937506,64.1807
,,57.0471
40.463667,-3.74922,86.5485
7.873054,80.771797,80.2303
,,75.948
12.862807,30.217636,68.1838
3.919305,-56.027783,73.5769
60.128161,18.643501,85.092
46.818188,8.227512,85.9322
34.802075,38.996815,76.1166
23.69781,120.960515,81.4949
38.861034,71.276093,73.5182
15.870032,100.992541,83.9288
-8.874217,125.727539,70.8151
8.619543,0.824782,62.2265
-8.967363,-171.855881,76.1984
-21.178986,-175.198242,74.1234
10.691803,-61.222503,78.1532
33.886917,9.537499,77.4084
38.969719,59.556278,72.916
21.694025,-71.797928,77.9863
-7.109535,177.64933,69.3905
1.373333,32.290275,65.7032
48.379433,31.16558,73.9045
23.424076,53.847818,81.412
55.378051,-3.435973,83.8335
-6.369028,34.888822,68.9298
37.09024,-95.712891,81.0153
18.335765,-64.896335,80.8662
-32.522779,-55.765835,81.6848
41.377491,64.585262,74.2932
-15.376706,166.959158,73.0665
6.42375,-66.58973,75.6546
14.058324,108.277199,79.2901
-13.768752,-177.156097,80.99
24.215527,-12.885834,73.0973
15.552727,48.516388,67.2216
-13.133897,27.849332,64.5101
-19.015438,29.154857,62.0943
,,
41.902916,12.453389,
,,
38.963745,35.243322,
77.553604,23.670272,
-26.522503,31.465866,
-54.429579,-36.587909,
35.907757,127.766922,
-24.703615,-127.439308,
31.952162,35.233154,
12.226079,-69.060087,
47.411631,28.369885,
41.608635,21.745275,
31.354676,34.308825,
-49.280366,69.348557,
-4.038333,21.758664,
-10.447525,105.690449,
-12.164165,96.870956,
-6.343194,71.876519,
-75.250973,-0.071389,